01-core	netwatch-1.3.1_2-i586-5
01-core	network-scripts-15.1-noarch-1
01-core	ntfs-3g-2022.10.3-i586-1
01-core	ntp-4.2.8p17-i586-3
01-core	openssh-9.5p1-i586-1
01-core	openssl-3.1.3-i586-1
01-core	openvpn-2.6.6-i586-1
01-core	opus-1.4-i586-1
01-core	orc-0.4.34-i586-1
01-core	os-prober-1.79-i586-1
01-core	pam-1.5.3-i586-1
01-core	parted-3.6-i586-1
01-core	patch-2.7.6-i586-5
01-core	pciutils-3.10.0-i586-1
01-core	pcmciautils-018-i586-5
01-core	pkgtools-15.1-noarch-7
01-core	plzip-1.10-i586-1
01-core	popt-1.19-i586-1
01-core	powertop-2.15-i586-1
01-core	ppp-2.4.9-i586-4
01-core	procps-ng-3.3.17-i586-2
01-core	pssh-2.3.5-i586-1
01-core	pulseaudio-16.1-i586-2
01-core	quota-4.09-i586-2
01-core	radeontool-1.6.3-i586-4
01-core	rdist-6.1.5-i586-5
01-core	reiserfsprogs-3.6.27-i586-5
01-core	rp-pppoe-3.15-i586-1
01-core	rpm2tgz-1.2.2-i586-7
01-core	rsync-3.2.7-i586-2
01-core	rzip-2.1-i586-4
01-core	screen-4.9.1-i586-1
01-core	sdparm-1.12-i586-3
01-core	sed-4.9-i586-1
01-core	sg3_utils-1.48-i586-1
01-core	shadow-4.13-i586-1
01-core	sharutils-4.15.2-i586-4
01-core	slackpkg+-1.8.0-noarch-6mt
01-core	slackpkg-15.0.10-noarch-2
01-core	smartmontools-7.4-i586-1
01-core	speexdsp-1.2.1-i586-1
01-core	splitvt-1.6.6-i586-5
01-core	squashfs-tools-4.6.1-i586-1
01-core	strace-6.5-i586-1
01-core	sysfsutils-2.1.1-i586-1
01-core	sysklogd-2.5.2-i586-1
01-core	syslinux-4.07-i586-4
01-core	sysstat-12.7.4-i586-1
01-core	sysvinit-3.08-i586-1
01-core	sysvinit-functions-8.53-i586-6
01-core	sysvinit-scripts-15.1-noarch-7
01-core	tar-1.35-i586-1
01-core	tcp_wrappers-7.6-i586-7
01-core	tcpdump-4.99.4-i586-1
01-core	tcsh-6.24.10-i586-1
01-core	telnet-0.17-i586-6
01-core	time-1.9-i586-4
01-core	traceroute-2.1.2-i586-1
01-core	tree-2.1.1-i586-1
01-core	udisks-1.0.5-i586-11
01-core	udisks2-2.9.4-i586-1
01-core	unarj-265-i586-4
01-core	upower-1.90.1-i586-1
01-core	usb_modeswitch-2.6.1-i586-3
01-core	usbutils-015-i586-1
01-core	userspace-rcu-0.14.0-i586-1
01-core	utempter-1.2.1-i586-1
01-core	util-linux-2.39.2-i586-1
01-core	vbetool-1.2.2-i586-4
01-core	virt-what-1.24-i586-1_SBo
01-core	vlan-1.9-i586-5
01-core	volume_key-0.3.12-i586-5
01-core	wget-1.21.4-i586-1
01-core	which-2.21-i586-4
01-core	whois-5.5.18-i586-1
01-core	wireless_tools-30.pre9-i586-5
01-core	wpa_supplicant-2.10-i586-2
01-core	xfsdump-3.1.12-i586-1
01-core	xfsprogs-6.4.0-i586-1
01-core	xz-5.4.4-i586-1
01-core	zd1211-firmware-1.5-fw-4
01-core	zerofree-1.1.1-i586-3
01-core	zlib-1.3-i586-1
01-core	zoo-2.10_22-i586-4
01-firmware	kernel-firmware-from-debian-nover-noarch-1
02-xorg	blackbox-0.77-i586-1
02-xorg	brotli-1.1.0-i586-1
02-xorg	dejavu-fonts-ttf-2.37-noarch-6
02-xorg	fontconfig-2.13.92-i586-3
02-xorg	freetype-2.13.2-i586-1
02-xorg	graphite2-1.3.14-i586-3
02-xorg	harfbuzz-8.2.1-i586-1
02-xorg	iceauth-1.0.9-i586-1
02-xorg	libFS-1.0.9-i586-1
02-xorg	libICE-1.1.1-i586-1
02-xorg	libSM-1.2.4-i586-1
02-xorg	libX11-1.8.7-i586-1
02-xorg	libXScrnSaver-1.2.4-i586-1
02-xorg	libXau-1.0.11-i586-1
02-xorg	libXaw-1.0.15-i586-1
02-xorg	libXaw3d-1.6.5-i586-1
02-xorg	libXaw3dXft-1.6.2h-i586-3
02-xorg	libXcm-0.5.4-i586-3
