libedit2	3.1-20221030-2	amd64	install ok installed
libelf1	0.188-2.1	amd64	install ok installed
libexpat1	2.5.0-1	amd64	install ok installed
libext2fs2	1.47.0-2	amd64	install ok installed
libfdisk1	2.38.1-5+b1	amd64	install ok installed
libffi8	3.4.4-1	amd64	install ok installed
libfftw3-single3	3.3.10-1	amd64	install ok installed
libfido2-1	1.12.0-2+b1	amd64	install ok installed
libfuse3-3	3.14.0-4	amd64	install ok installed
libgcc-s1	12.2.0-14	amd64	install ok installed
libgcrypt20	1.10.1-3	amd64	install ok installed
libgdbm6	1.23-3	amd64	install ok installed
libglib2.0-0	2.74.6-2	amd64	install ok installed
libgmp10	2:6.2.1+dfsg1-1.1	amd64	install ok installed
libgnutls30	3.7.9-2	amd64	install ok installed
libgomp1	12.2.0-14	amd64	install ok installed
libgpg-error0	1.46-1	amd64	install ok installed
libgpm2	1.20.7-10+b1	amd64	install ok installed
libgssapi-krb5-2	1.20.1-2+deb12u1	amd64	install ok installed
libhogweed6	3.8.1-2	amd64	install ok installed
libidn2-0	2.3.3-1+b1	amd64	install ok installed
libip4tc2	1.8.9-2	amd64	install ok installed
libip6tc2	1.8.9-2	amd64	install ok installed
libiw30	30~pre9-14	amd64	install ok installed
libjansson4	2.14-2	amd64	install ok installed
libjim0.81	0.81+dfsg0-2	amd64	install ok installed
libjson-c5	0.16-2	amd64	install ok installed
libk5crypto3	1.20.1-2+deb12u1	amd64	install ok installed
libkeyutils1	1.6.3-2	amd64	install ok installed
libklibc	2.0.12-1	amd64	install ok installed
libkmod2	30+20221128-1	amd64	install ok installed
libkrb5-3	1.20.1-2+deb12u1	amd64	install ok installed
libkrb5support0	1.20.1-2+deb12u1	amd64	install ok installed
liblocale-gettext-perl	1.07-5	amd64	install ok installed
liblz4-1	1.9.4-1	amd64	install ok installed
liblzma5	5.4.1-0.2	amd64	install ok installed
liblzo2-2	2.10-2	amd64	install ok installed
libmagic-mgc	1:5.44-3	amd64	install ok installed
libmagic1	1:5.44-3	amd64	install ok installed
libmd0	1.0.4-2	amd64	install ok installed
libmnl0	1.0.4-3	amd64	install ok installed
libmount1	2.38.1-5+b1	amd64	install ok installed
libncursesw6	6.4-4	amd64	install ok installed
libnetfilter-conntrack3	1.0.9-3	amd64	install ok installed
libnettle8	3.8.1-2	amd64	install ok installed
libnewt0.52	0.52.23-1+b1	amd64	install ok installed
libnfnetlink0	1.0.2-2	amd64	install ok installed
libnftables1	1.0.6-2+deb12u2	amd64	install ok installed
libnftnl11	1.2.4-2	amd64	install ok installed
libnl-3-200	3.7.0-0.2+b1	amd64	install ok installed
libnl-genl-3-200	3.7.0-0.2+b1	amd64	install ok installed
libnl-route-3-200	3.7.0-0.2+b1	amd64	install ok installed
libnsl2	1.3.0-2	amd64	install ok installed
libntfs-3g89	1:2022.10.3-1+b1	amd64	install ok installed
libp11-kit0	0.24.1-2	amd64	install ok installed
libpam-modules	1.5.2-6+deb12u1	amd64	install ok installed
libpam-modules-bin	1.5.2-6+deb12u1	amd64	install ok installed
libpam-runtime	1.5.2-6+deb12u1	all	install ok installed
libpam0g	1.5.2-6+deb12u1	amd64	install ok installed
libpci3	1:3.9.0-4	amd64	install ok installed
libpcre2-8-0	10.42-1	amd64	install ok installed
libpcsclite1	1.9.9-2	amd64	install ok installed
libpipeline1	1.5.7-1	amd64	install ok installed
libpopt0	1.19+dfsg-1	amd64	install ok installed
libproc2-0	2:4.0.2-3	amd64	install ok installed
libpsl5	0.21.2-1	amd64	install ok installed
libpython3-stdlib	3.11.2-1+b1	amd64	install ok installed
libpython3.11-minimal	3.11.2-6	amd64	install ok installed
libpython3.11-stdlib	3.11.2-6	amd64	install ok installed
libreadline8	8.2-1.3	amd64	install ok installed
libsamplerate0	0.2.2-3	amd64	install ok installed
libseccomp2	2.5.4-1+b3	amd64	install ok installed
libselinux1	3.4-1+b6	amd64	install ok installed
libsemanage-common	3.4-1	all	install ok installed
libsemanage2	3.4-1+b5	amd64	install ok installed
libsepol2	3.4-2.1	amd64	install ok installed
libslang2	2.3.3-3	amd64	install ok installed
libsmartcols1	2.38.1-5+b1	amd64	install ok installed
libsqlite3-0	3.40.1-2	amd64	install ok installed
libss2	1.47.0-2	amd64	install ok installed
libssh2-1	1.10.0-3+b1	amd64	install ok installed
libssl3	3.0.11-1~deb12u1	amd64	install ok installed
libstdc++6	12.2.0-14	amd64	install ok installed
libsystemd-shared	252.17-1~deb12u1	amd64	install ok installed
libsystemd0	252.17-1~deb12u1	amd64	install ok installed
libtasn1-6	4.19.0-2	amd64	install ok installed
libtext-charwidth-perl	0.04-11	amd64	install ok installed
libtext-iconv-perl	1.7-8	amd64	install ok installed
libtext-wrapi18n-perl	0.06-10	all	install ok installed
libtinfo6	6.4-4	amd64	install ok installed
libtirpc-common	1.3.3+ds-1	all	install ok installed
libtirpc3	1.3.3+ds-1	amd64	install ok installed
libuchardet0	0.0.7-1	amd64	install ok installed
libudev1	252.17-1~deb12u1	amd64	install ok installed
libunistring2	1.0-2	amd64	install ok installed
libusb-1.0-0	2:1.0.26-1	amd64	install ok installed
libuuid1	2.38.1-5+b1	amd64	install ok installed
libwrap0	7.6.q-32	amd64	install ok installed
libxtables12	1.8.9-2	amd64	install ok installed
libxxhash0	0.8.1-1	amd64	install ok installed
libzstd1	1.5.4+dfsg2-5	amd64	install ok installed
linux-base	4.9	all	install ok installed
linux-image-6.1.0-13-amd64	6.1.55-1	amd64	deinstall ok config-files
linux-image-6.1.38	6.1.38-1	amd64	install ok installed
linux-image-amd64	6.1.55-1	amd64	deinstall ok config-files
locales	2.36-9+deb12u3	all	install ok installed
login	1:4.13+dfsg1-1+b1	amd64	install ok installed
logrotate	3.21.0-1	amd64	install ok installed
logsave	1.47.0-2	amd64	install ok installed
lsof	4.95.0-1	amd64	install ok installed
man-db	2.11.2-2	amd64	install ok installed
mawk	1.3.4.20200120-3.1	amd64	install ok installed
mc	3:4.8.29-2	amd64	install ok installed
mc-data	3:4.8.29-2	all	install ok installed
mdadm	4.2-5	amd64	install ok installed
media-types	10.0.0	all	install ok installed
mount	2.38.1-5+b1	amd64	install ok installed
nano	7.2-1	amd64	install ok installed
ncurses-base	6.4-4	all	install ok installed
ncurses-bin	6.4-4	amd64	install ok installed
net-tools	2.10-0.1	amd64	install ok installed
netbase	6.4	all	install ok installed
netcat-openbsd	1.219-1	amd64	install ok installed
nftables	1.0.6-2+deb12u2	amd64	install ok installed
ntfs-3g	1:2022.10.3-1+b1	amd64	install ok installed
ntpdate	1:4.2.8p15+dfsg-2~1.2.2+dfsg1-1+deb12u1	all	install ok installed
ntpsec-ntpdate	1.2.2+dfsg1-1+deb12u1	amd64	install ok installed
